"","M","CV","mnQ","vrQ"
"1",0.907322301305185,0.667130706410357,1.48409408130752,0.980267778207049
"2",0.906507196532474,0.7628688965875,1.4820981161197,1.27836163115444
"3",0.789835127202958,0.463195062514938,1.21364932480482,0.316019789811678
"4",0.984041031321382,0.579770497422723,1.67982747359987,0.948509277914791
"5",0.814681674877417,0.446453345606439,1.26801212239639,0.320478555601752
"6",0.839462617942134,0.480495398298249,1.32371963985295,0.404548402482924
"7",0.710492269831822,0.784628993305906,1.049774284095,0.678454244145286
"8",0.797153415522355,0.561132945525754,1.22950758683059,0.475985761820991
"9",0.908384435785626,0.635023020527823,1.48669753862513,0.8913005686772
"10",0.931739816152579,0.676771064955614,1.54468952254587,1.09286361292616
"11",0.740725372109566,0.500172653939536,1.11049888815723,0.308514900092363
"12",0.917859893954856,0.691026212771265,1.51005320256116,1.08886375355581
"13",0.915919087736199,0.492299568587286,1.50525033122292,0.549131520581224
"14",0.951971805811086,0.432373885918783,1.59609086160737,0.476249062861193
"15",0.77849066189515,0.466944906522591,1.18931826404797,0.30840929704006
"16",0.859877400005519,0.436083344702784,1.37074719834463,0.357317045092293
"17",0.754713955964992,0.541407508879678,1.13930661345831,0.380478207004041
"18",0.985883730673839,0.472142221060054,1.68472451863869,0.63270821054163
"19",0.8389625974301,0.80938073068509,1.32258073252229,1.14590893189282
"20",0.822761298044081,0.514289213944932,1.28601055093094,0.437425297222016
"21",0.773980885014301,0.523090317104716,1.1797304698606,0.380819303750918
"22",0.722039850868573,0.785427103300522,1.07272174747876,0.709881630088169
"23",0.870735825587037,0.50538358628026,1.3961842197587,0.497883479585739
"24",0.837401697670974,0.461667591807349,1.3190293972594,0.370823908880656
"25",0.827995767633337,0.728865269262936,1.29775577842481,0.894706217646829
"26",0.870380259768305,0.564356982855797,1.39534657550354,0.620114644536059
"27",0.772215616626616,0.504253829990541,1.17599055586656,0.351646321813603
"28",0.990763066623254,0.554621397726935,1.69773692941192,0.886612874008128
"29",0.846102899212554,0.828112814309473,1.33890282715106,1.2293544771671
"30",0.938600853050103,0.523684688694866,1.56199849191092,0.669115319376524
"31",0.740748999891699,0.579208632474507,1.1105471650438,0.413755774010333
"32",0.850329488130207,0.474306142503017,1.34862384391159,0.409165648770048
"33",0.810222948286286,0.696283560754945,1.25814742570875,0.767423952160668
"34",0.887121435464914,0.510695649977111,1.43513266986254,0.537165880116581
"35",0.855040614926695,0.498649221620938,1.35951155583678,0.459574684562961
"36",1.12875207785192,0.605149641662973,2.09419323451324,1.60605001347303
